Source.Name,Game Completed Date,Team,Outcome,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Rank Change,Region/Game Code,,,,
User18,12/18/2020 at 12:35:27 pm EST,Imposter,Loss,2,07m 06s,Yes,N/A,-,NA / DYSEIF,,,,
User18,12/17/2020 at 3:20:52 pm EST,Imposter,Loss,1,15m 42s,No,N/A,--,Europe / ZQKMJF,,,,
User18,12/16/2020 at 5:32:45 pm EST,Imposter,Loss,2,01m 51s,Yes,N/A,N/A,Europe / OOELCF,,,,
User18,12/16/2020 at 3:13:23 pm EST,Imposter,Win,3,09m 19s,No,N/A,+++,Europe / LZHLMF,,,,
User18,12/16/2020 at 2:39:03 pm EST,Imposter,Win,2,14m 00s,No,N/A,+++,Europe / LZHLMF,,,,
User18,12/15/2020 at 6:03:55 pm EST,Imposter,Loss,2,09m 25s,No,N/A,-,Europe / WXCBQQ,,,,
User18,12/13/2020 at 1:16:45 pm EST,Imposter,Loss,3,12m 12s,No,N/A,-,Europe / IWNVWQ,,,,
User18,12/13/2020 at 12:31:03 pm EST,Imposter,Loss,2,17m 12s,No,N/A,-,Europe / IWNVWQ,,,,
User18,12/13/2020 at 11:51:20 am EST,Imposter,Win,2,08m 54s,No,N/A,+++,Europe / IWNVWQ,,,,
User18,12/12/2020 at 7:17:30 pm EST,Imposter,Win,3,12m 17s,No,N/A,+++,Europe / PBLKRQ,,,,
User18,12/12/2020 at 6:21:39 pm EST,Imposter,Loss,3,11m 46s,No,N/A,-,Europe / PBLKRQ,,,,
User19,12/24/2020 at 2:07:45 pm EST,Imposter,Win,4,07m 17s,No,N/A,+++,NA / RBAUGF,,,,
User19,12/24/2020 at 1:59:08 pm EST,Imposter,Loss,1,12m 16s,Yes,N/A,--,NA / RBAUGF,,,,
User19,12/23/2020 at 9:52:36 pm EST,Imposter,Loss,3,12m 00s,No,N/A,-,NA / KYXYVF,,,,
User19,12/23/2020 at 9:52:35 pm EST,Imposter,Loss,3,12m 00s,No,N/A,-,NA / KYXYVF,,,,
User19,12/23/2020 at 8:46:29 pm EST,Imposter,Loss,2,09m 56s,No,N/A,-,NA / KYXYVF,,,,
User19,12/23/2020 at 8:46:29 pm EST,Imposter,Loss,2,09m 56s,No,N/A,-,NA / KYXYVF,,,,
User19,12/23/2020 at 7:37:30 pm EST,Imposter,Win,2,07m 29s,No,N/A,+++,NA / KYXYVF,,,,
User19,12/23/2020 at 7:37:30 pm EST,Imposter,Win,2,07m 29s,No,N/A,+++,NA / KYXYVF,,,,
User2,12/13/2020 at 1:22:51 am EST,Imposter,Loss,1,14m 26s,No,N/A,--,NA / KJYCCF,,,,
User2,12/12/2020 at 9:08:08 pm EST,Imposter,Loss,3,21m 05s,Yes,N/A,-,NA / JDVNCF,,,,
User2,12/12/2020 at 7:27:56 pm EST,Imposter,Win,2,04m 07s,No,N/A,N/A,NA / KMHWCF,,,,
User2,12/07/2020 at 7:38:42 pm EST,Imposter,Loss,2,11m 53s,Yes,N/A,-,NA / PJBMVF,,,,
User2,12/06/2020 at 8:53:12 pm EST,Imposter,Win,1,04m 38s,No,N/A,N/A,NA / ZQVGNF,,,,
User2,12/06/2020 at 8:43:25 pm EST,Imposter,Loss,1,08m 58s,No,N/A,--,NA / OFJUIF,,,,
User2,12/06/2020 at 8:32:20 pm EST,Imposter,Loss,3,13m 42s,Yes,N/A,-,NA / UFWSBF,,,,
User2,12/06/2020 at 8:00:17 pm EST,Imposter,Loss,1,12m 35s,No,N/A,--,NA / AUYZIF,,,,
User2,12/06/2020 at 6:11:03 pm EST,Imposter,Win,2,08m 03s,No,N/A,+++,NA / DNWQDF,,,,
User2,12/06/2020 at 4:02:47 pm EST,Imposter,Win,3,09m 15s,No,N/A,+++,NA / YNVBHF,,,,
User2,12/06/2020 at 2:54:28 pm EST,Imposter,Loss,1,09m 33s,Yes,N/A,--,NA / DCXAGF,,,,
User2,12/06/2020 at 2:43:41 pm EST,Imposter,Win,1,05m 05s,No,N/A,+++,NA / DCXAGF,,,,
User2,12/05/2020 at 8:35:09 pm EST,Imposter,Loss,0,06m 39s,No,N/A,--,NA / JXVBHF,,,,
User2,12/04/2020 at 5:30:21 pm EST,Imposter,Loss,2,16m 35s,No,N/A,-,NA / PYKXMF,,,,
User2,12/04/2020 at 4:56:10 pm EST,Imposter,Loss,2,12m 48s,No,N/A,-,NA / PYKXMF,,,,
User2,12/03/2020 at 1:17:44 am EST,Imposter,Loss,0,09m 15s,No,N/A,--,NA / SRWHUF,,,,
User2,12/02/2020 at 7:25:22 pm EST,Imposter,Win,2,07m 43s,No,N/A,+++,NA / UBXJNF,,,,
User2,12/02/2020 at 12:41:48 am EST,Imposter,Win,8,03m 14s,No,N/A,N/A,NA / TAPDDF,,,,
User2,12/02/2020 at 12:30:05 am EST,Imposter,Win,2,08m 57s,No,N/A,+++,NA / EMSSUF,,,,
User2,12/01/2020 at 10:37:18 pm EST,Imposter,Win,1,09m 06s,No,N/A,+++,NA / ARTYZF,,,,
User2,12/01/2020 at 10:22:54 pm EST,Imposter,Loss,0,18m 20s,No,N/A,--,NA / DGBXDF,,,,
User2,12/01/2020 at 9:54:26 pm EST,Imposter,Win,2,05m 50s,No,N/A,+++,NA / DGBXDF,,,,
User2,12/01/2020 at 9:48:21 pm EST,Imposter,Loss,2,05m 58s,Yes,N/A,-,NA / DGBXDF,,,,
User20,12/24/2020 at 12:04:31 pm EST,Imposter,Loss,2,04m 09s,No,N/A,N/A,NA / CKCUCF,,,,
User20,12/24/2020 at 11:19:05 am EST,Imposter,Win,2,05m 18s,No,N/A,+++,NA / CKCUCF,,,,
User20,12/24/2020 at 11:12:35 am EST,Imposter,Loss,1,04m 41s,No,N/A,N/A,NA / CKCUCF,,,,
